variable,LB_OR_multiple_mating,LB_OR_multiple_social,LB_OR_mating_social,UB_OR_multiple_mating,UB_OR_multiple_social,UB_OR_mating_social
Y_proclChatChild_r,3.11,2.14,0.046,111.827,8.77364E+13,1.23264E+13
Y_proclChatYp_r,1.765,1.315,0.508,4.051,3.524,1.243
Y_proclDui_r,0.819,1.555,1.423,1.555,3.535,2.887
Y_proclGiftChild_r,4.527,4.052,0,8.15206E+13,8.47258E+13,6.6213E+12
Y_proclGiftYp_r,1.918,1.687,0.449,6.563,8.742,2.485
Y_proclKill_r,1.774,1.787,0.703,3.723,4.283,1.654
Y_proclPornChildDarknet_r,3.69,4.453,0.102,280.423,1.27893E+14,1.84237E+13
Y_proclPornChild_r,3.987,3.409,0.054,140.139,1.26257E+14,1.40609E+13
Y_proclPornYp_r,1.876,1.481,0.537,4.086,3.855,1.443
Y_proclProstitute_r,1.674,1.825,0.785,3.567,4.247,1.574
Y_proclPublic_r,1.517,1.715,0.902,2.807,3.708,1.771
Y_proclRape_r,2.114,2.351,0.733,4.759,6.559,2.137
Y_proclRob_r,0.898,1.557,1.264,1.885,3.315,2.516
Y_proclSexChild_r,3.908,5.092,0,8.38099E+13,1.01241E+14,1.30718E+13
Y_proclSexYp_r,1.604,1.389,0.609,3.235,3.135,1.381
Y_proclSpeed_r,0.365,0.771,0.972,1.938,3.735,4.378
Y_proclZoo_r,2.258,1.114,0,6.69275E+13,14.875,2.634
