CASE,sexdrive2,CSBD,PPCS_6,meffort,socialanx,lon,mvalue,attr
443,4,3,4,4,2,1,4,0
450,1,1,2,1,2,1,4,0
465,4,4,1,4,1,1,3,0
479,1,3,3,4,2,2,3,0
488,2,3,4,2,2,3,4,1
504,1,4,4,3,2,3,1,0
506,1,3,1,4,1,1,4,0
534,3,2,1,4,1,1,4,0
549,1,2,1,4,1,1,2,0
555,1,2,1,4,2,2,4,0
573,2,2,4,3,2,2,2,0
577,1,3,2,4,2,1,2,0
579,2,3,2,1,2,1,3,0
581,1,2,1,3,2,2,4,0
586,1,2,3,2,3,1,3,0
604,2,4,3,3,1,3,4,0
609,3,4,4,1,2,2,4,0
611,4,3,1,4,2,4,3,0
614,1,3,2,4,1,2,4,0
661,1,1,1,4,1,3,3,0
683,1,4,3,4,2,1,2,0
685,3,4,4,4,1,2,4,0
689,1,3,1,2,3,2,4,0
766,4,3,4,4,1,2,2,0
800,3,4,3,3,1,2,3,1
803,4,2,4,4,2,4,4,0
804,2,2,2,4,3,2,4,0
811,1,3,3,4,1,1,1,0
815,1,4,3,4,2,1,4,0
826,2,3,1,4,2,1,4,0
831,1,4,3,1,2,3,2,0
853,2,1,1,4,3,1,3,0
864,4,4,4,4,3,1,2,0
873,1,1,2,4,1,1,3,0
877,4,2,3,4,2,1,2,0
881,1,3,1,3,2,2,1,0
907,1,1,1,2,3,1,4,0
914,1,3,3,1,1,1,1,0
919,3,2,1,3,3,2,2,0
923,1,4,2,3,1,1,4,0
957,1,4,3,3,2,1,3,0
963,3,1,3,4,2,1,4,0
967,3,4,4,1,2,3,3,0
968,3,4,1,4,2,2,3,0
985,1,3,3,4,4,4,1,0
990,4,2,3,3,3,2,4,0
1012,4,3,2,3,4,4,2,0
1025,1,3,2,2,2,3,2,1
1035,1,2,3,2,2,2,4,0
1082,1,3,2,4,1,1,4,0
1084,2,2,1,3,2,1,3,0
1118,1,2,1,4,1,2,3,0
1133,3,3,3,4,3,3,2,0
1136,3,4,3,3,4,4,1,0
1141,4,3,3,2,2,2,2,0
1145,2,1,1,4,3,1,2,0
1159,2,1,1,1,3,3,1,0
1174,3,1,1,3,4,4,1,1
1177,4,3,4,4,1,4,1,0
1236,1,2,1,3,1,2,2,0
1239,3,2,2,4,2,2,1,0
1250,4,1,4,3,3,4,2,0
1264,4,4,4,1,2,3,1,0
1328,1,3,1,2,4,1,1,0
1345,1,3,3,3,2,2,4,0
1352,3,3,4,1,3,2,2,0
1354,1,3,3,4,1,3,3,0
1361,1,3,2,4,1,1,3,0
1412,1,2,2,4,1,1,2,0
1414,3,4,2,2,2,4,4,0
1475,1,3,4,4,3,4,1,0
1491,3,1,3,3,3,2,2,0
1546,1,1,1,1,1,2,4,0
1557,1,4,3,2,1,1,4,0
1595,4,3,4,2,4,4,1,0
1605,4,3,1,4,2,2,2,0
1633,1,1,2,3,2,3,3,0
1636,3,3,2,1,1,3,4,0
1644,3,1,2,1,1,2,2,0
1691,3,2,1,2,3,3,1,0
1768,1,2,2,2,1,1,4,0
1858,4,3,2,4,1,1,3,0
1865,4,4,4,4,1,2,3,1
1870,1,2,1,3,1,2,3,0
1879,3,1,3,1,4,3,1,0
1921,4,4,4,4,1,4,2,0
2066,3,1,1,1,4,4,1,0
2246,2,3,3,1,3,2,2,0
2256,3,1,2,3,3,1,1,0
2283,1,2,1,4,1,1,3,0
2289,1,3,2,4,1,2,3,0
2299,1,1,2,3,2,1,1,1
2355,3,3,3,4,2,3,1,0
2371,4,4,4,4,1,2,4,0
2415,4,1,2,2,1,3,3,0
2430,1,1,1,2,1,1,2,0
2440,4,4,4,3,3,2,1,0
2458,1,3,2,3,3,1,2,0
2471,1,1,1,3,1,1,4,0
2489,3,4,4,2,4,2,3,1
2494,1,1,3,3,2,3,1,1
2502,2,3,3,4,1,1,2,0
2505,4,3,4,4,1,2,4,0
2509,3,3,3,4,2,1,3,1
2520,4,4,3,1,4,1,2,0
2532,1,1,3,3,3,3,3,0
2537,3,3,3,4,2,1,2,0
2556,2,4,4,3,4,3,3,0
2574,3,2,1,4,1,1,4,0
2576,1,4,1,3,2,1,4,0
2588,2,1,1,2,1,1,3,0
2599,3,4,1,2,1,3,3,0
2656,1,1,1,3,1,1,4,0
2709,1,2,1,1,1,1,4,0
2716,4,4,1,3,2,4,1,0
2724,4,1,1,3,1,1,2,0
2732,1,2,3,4,1,1,4,0
2753,3,2,2,4,2,3,3,0
2770,2,1,1,4,1,3,4,0
2775,1,1,3,1,3,2,1,0
2796,1,4,1,4,3,1,4,0
2799,1,2,2,3,3,2,2,0
2823,1,1,1,3,1,1,4,0
2867,1,4,2,4,3,3,4,0
2897,1,2,2,4,2,1,1,0
2910,1,2,1,4,1,1,3,0
2941,3,4,2,4,4,3,4,0
2947,4,2,3,3,4,4,2,1
2984,3,4,4,3,4,4,3,1
2997,4,3,3,4,2,2,2,1
3069,4,1,4,4,3,1,1,1
3122,1,2,2,4,2,1,3,0
3128,1,4,4,4,1,1,4,0
3129,3,4,1,4,3,2,4,0
3170,2,3,2,1,1,1,4,0
3181,4,3,2,2,1,2,2,0
3186,1,3,4,4,1,1,4,0
3187,1,1,1,4,1,3,4,0
3200,1,1,3,4,3,3,2,0
3278,1,2,1,2,4,3,1,0
3279,1,1,1,1,3,1,1,0
3286,2,1,1,1,4,3,2,0
3291,4,1,1,3,3,2,1,0
3304,3,3,1,2,2,1,4,0
3314,1,4,3,3,2,1,2,0
3316,3,3,1,1,4,4,1,0
3318,1,2,4,3,1,2,3,0
3319,3,1,1,2,3,4,3,0
3322,4,4,4,1,3,4,2,0
3324,3,2,4,3,4,3,1,0
3329,1,4,3,2,4,3,1,0
3334,3,1,1,2,2,4,1,0
3337,4,1,3,3,4,1,2,0
3338,1,2,1,2,3,4,1,0
3347,2,1,2,2,3,1,1,0
3348,1,3,3,1,4,2,4,0
3349,1,4,3,2,4,3,2,1
3350,4,2,2,4,1,2,4,0
3356,1,4,3,1,2,2,3,0
3359,1,2,2,3,3,2,2,0
3363,4,3,4,2,3,2,1,0
3366,4,2,1,1,3,1,2,0
3367,1,2,2,4,4,3,4,0
3369,3,1,1,4,1,1,4,0
3373,4,2,3,3,1,3,4,0
3374,3,1,1,1,2,3,1,0
3377,4,4,4,4,3,3,2,0
3385,4,4,4,3,4,4,1,0
3391,1,4,4,1,2,3,4,0
3399,3,4,4,1,2,4,2,0
3402,1,1,2,3,4,2,1,0
3408,4,4,4,3,3,4,4,0
3413,1,1,2,3,3,2,3,0
3424,3,1,2,3,2,2,3,0
3427,1,3,2,1,3,4,1,0
3429,4,1,4,1,3,3,3,0
3437,2,1,1,4,2,1,3,0
3443,4,1,3,3,4,4,1,0
3451,3,1,4,2,3,3,1,0
3453,4,4,4,2,4,4,4,1
3460,1,4,2,2,3,4,1,0
3467,1,2,3,3,4,2,1,0
3470,1,1,2,1,4,1,1,0
3479,3,3,1,2,4,2,4,0
3485,4,1,3,3,4,4,1,0
3486,4,2,1,1,3,4,2,0
3488,3,1,1,3,3,3,2,0
3518,2,4,4,2,1,1,3,0
3519,3,4,4,3,4,3,2,0
3522,1,2,2,3,2,1,1,0
3537,3,1,3,1,3,4,1,0
3540,2,2,1,1,2,2,4,0
3541,1,4,4,1,4,4,1,0
3549,3,1,1,3,4,4,1,0
3550,4,3,4,4,3,2,4,0
3552,1,1,2,3,3,2,3,0
3553,4,4,3,2,4,4,1,0
3558,2,3,2,4,4,4,1,0
3564,1,4,3,4,3,2,3,0
3568,3,4,4,1,3,2,2,0
3572,4,3,3,3,2,2,2,0
3575,2,4,3,2,4,4,3,0
3589,4,2,4,3,4,4,1,0
3593,3,1,1,1,2,1,2,0
3596,4,3,3,2,3,1,2,0
3597,1,2,1,1,1,2,2,0
3602,1,1,1,3,2,1,1,0
3604,1,2,2,2,4,1,2,0
3616,4,1,2,1,4,2,2,0
3620,3,4,4,4,2,4,2,0
3621,1,1,2,1,3,2,2,0
3623,1,4,4,3,4,4,1,0
3625,1,2,2,3,4,1,1,0
3635,2,4,4,3,2,2,1,0
3641,4,2,3,2,4,2,3,0
3643,2,2,4,1,4,4,2,0
3649,3,4,4,1,3,4,4,0
3656,1,1,1,1,3,1,3,0
3658,2,2,1,4,1,3,4,0
3659,4,3,1,1,4,4,1,0
3664,1,3,2,2,1,1,1,0
3665,1,2,3,3,1,2,3,0
3674,2,4,1,2,4,1,1,0
3685,1,2,2,2,1,2,3,0
3687,1,1,1,3,1,1,2,0
3696,3,1,3,4,1,1,4,0
3706,1,2,1,2,2,3,1,0
3707,4,4,4,2,4,3,3,0
3715,1,2,3,3,1,2,1,0
3716,2,3,3,2,3,4,1,0
3722,3,4,4,4,4,2,2,0
3732,4,4,4,1,4,2,1,0
3740,4,4,4,3,4,1,1,0
3744,3,1,1,3,4,2,2,0
3749,1,4,3,1,3,2,2,0
3763,1,2,1,2,4,4,1,0
3764,1,2,2,4,2,3,1,0
3781,1,1,1,1,3,1,2,0
3791,1,4,2,3,1,3,3,0
3808,1,4,3,1,3,1,3,0
3816,3,2,1,3,3,1,3,0
3832,4,2,4,2,3,4,4,0
3833,1,1,2,1,1,2,1,0
3839,3,1,3,2,2,4,3,0
3845,2,1,1,1,4,3,2,0
3847,1,1,2,2,2,2,2,0
3855,2,1,1,1,1,1,3,0
3859,4,3,4,1,3,3,1,0
3864,4,4,3,3,2,1,2,0
3866,1,4,4,3,2,3,4,0
3871,3,1,1,4,1,2,1,0
3878,4,4,4,1,2,3,4,0
3894,2,4,3,1,4,4,1,0
3899,3,4,1,2,1,2,2,0
3900,3,1,4,3,2,2,2,0
3902,3,1,2,1,2,4,4,0
3913,3,2,1,2,1,1,4,0
3917,1,4,3,3,3,3,1,0
3921,2,1,2,2,3,4,1,0
3932,2,1,4,1,4,1,3,0
3933,2,2,4,3,4,4,3,0
3937,1,1,1,2,4,3,2,0
3939,1,1,2,3,1,1,3,0
3940,3,3,2,2,2,1,3,0
3942,1,1,3,1,4,4,4,0
3944,3,2,1,1,3,4,4,0
3949,3,1,1,1,2,3,2,0
3959,1,1,1,2,3,3,2,0
3960,3,4,4,3,3,4,4,0
3966,1,1,1,1,2,4,1,0
3976,1,4,1,1,1,4,1,0
3981,1,1,1,3,1,2,4,0
3982,3,1,4,1,4,4,1,1
3984,2,1,1,4,1,3,4,0
3985,1,1,3,2,4,4,2,0
3986,4,4,4,3,4,4,1,0
3988,1,3,2,1,4,4,2,0
3989,4,1,2,1,2,4,4,0
3994,3,2,1,4,1,1,3,0
4002,4,4,2,3,1,2,4,0
4032,1,1,3,1,3,3,1,0
4051,2,4,4,1,2,2,4,0
4058,3,1,2,1,4,2,4,0
4080,4,4,2,3,3,4,1,0
4085,1,4,4,1,3,3,2,1
4095,1,1,1,1,2,2,1,0
4097,1,1,1,1,2,2,4,0
4099,3,1,1,1,2,2,1,0
4115,3,1,1,2,3,2,1,0
4119,4,4,4,3,3,2,1,0
4124,1,1,2,3,1,1,3,0
4128,2,4,4,4,1,3,2,0
4135,3,1,1,2,3,3,1,0
4145,4,2,4,3,4,3,1,0
4153,4,2,2,3,2,2,1,0
4157,4,4,3,4,3,4,1,0
4159,1,1,3,4,2,2,2,0
4163,4,4,4,1,3,4,1,0
4183,4,1,1,3,2,1,2,0
4185,2,4,3,4,3,3,3,0
4189,3,3,1,2,4,2,4,0
4194,4,3,2,1,2,2,2,0
4201,3,3,4,2,3,4,1,0
4205,1,3,2,3,1,3,2,1
4208,1,1,2,2,3,2,2,0
4211,2,2,1,1,4,3,1,0
4212,4,4,4,4,1,1,4,0
4221,4,4,4,1,4,4,3,0
4224,1,1,2,1,4,3,2,0
4229,1,4,3,1,2,3,4,0
4230,3,4,3,1,2,3,4,0
4231,1,2,3,1,4,4,1,0
4240,1,3,1,2,1,1,2,0
4242,3,1,1,3,2,1,2,0
4245,4,1,1,1,3,3,1,0
4247,4,3,1,2,2,4,3,0
4257,1,1,2,3,2,1,2,0
4277,1,1,1,3,3,1,4,0
4289,4,1,3,4,3,4,4,0
4295,3,1,1,1,2,3,2,0
4298,4,2,3,1,2,1,1,0
4310,1,1,1,1,3,2,2,0
4322,4,1,2,3,4,4,2,0
4324,1,3,3,4,1,2,1,0
4327,2,2,2,1,3,2,1,0
4345,3,4,3,4,1,1,4,0
4346,1,1,1,2,1,1,2,0
4356,2,1,2,1,3,1,2,0
4366,1,4,3,4,3,3,4,0
4367,1,2,2,2,1,2,3,0
4368,1,1,1,3,2,1,2,0
4369,3,4,4,2,4,4,1,0
4377,4,2,1,2,2,1,4,0
4378,1,1,1,2,4,4,1,0
4390,2,4,4,4,2,4,4,0
4393,1,1,2,1,1,4,4,0
4399,4,2,2,2,3,3,2,0
4417,1,2,1,1,2,2,1,0
4423,1,1,2,4,2,1,3,0
4425,3,4,4,2,2,3,1,0
4435,1,1,3,1,2,2,2,0
4441,3,3,3,2,4,2,3,0
4442,2,3,1,3,2,1,1,0
4443,3,1,2,1,4,3,2,0
4453,1,2,2,3,1,2,1,0
4455,1,4,3,2,3,3,4,0
4456,1,1,1,3,3,4,1,0
4458,4,3,4,3,3,4,2,0
4466,3,1,2,2,4,1,1,0
4473,4,1,1,3,2,1,4,0
4481,3,2,2,3,2,2,2,0
4495,4,3,3,3,4,3,3,0
4496,1,1,1,4,2,2,4,0
4501,3,2,4,1,3,2,2,0
4511,3,1,1,1,2,2,2,0
4515,4,2,2,2,4,2,3,0
4537,2,2,3,1,2,2,4,0
4538,4,1,3,4,3,3,4,0
4539,3,2,3,2,1,2,2,0
4540,1,4,4,2,3,3,4,0
4547,1,2,2,1,2,4,1,0
4548,3,1,2,2,2,1,2,0
4556,4,2,2,1,2,2,3,0
4573,4,4,4,2,2,2,2,1
4576,1,2,2,1,2,1,1,0
4584,1,3,1,2,2,1,3,0
4586,1,4,1,3,3,4,1,0
4594,2,1,1,2,4,3,2,0
4608,4,1,3,2,2,1,2,0
4615,4,1,3,1,3,3,2,0
4617,1,1,3,1,1,2,4,0
4620,3,2,1,3,2,1,2,0
4621,4,1,1,1,2,1,3,0
4631,3,2,3,1,4,4,1,0
4635,3,4,1,3,1,2,4,0
4645,1,1,2,2,3,3,2,1
4648,2,1,3,3,2,2,3,0
4649,1,3,2,1,2,2,2,0
4650,4,4,4,4,1,1,4,0
4658,3,2,1,1,2,2,4,0
4678,2,1,3,2,4,4,1,0
4682,4,3,4,2,3,2,1,0
4687,1,3,2,1,3,4,1,0
4691,1,1,1,1,3,4,1,0
4697,1,1,1,2,3,3,3,0
4704,3,3,2,4,4,2,3,0
4705,3,2,1,1,4,3,1,0
4720,3,4,2,1,1,1,4,0
4733,1,3,1,2,4,4,3,0
4736,1,3,2,1,1,3,3,0
4761,1,2,3,2,1,1,4,0
4764,1,2,3,2,3,1,2,0
4766,3,1,2,3,4,2,3,0
4772,1,1,4,4,3,3,1,0
4775,1,1,2,1,2,2,1,0
4779,3,4,3,4,3,4,4,0
4789,3,1,2,1,2,1,2,0
4801,1,1,1,2,2,2,3,0
4803,4,4,4,4,1,1,3,0
4816,3,3,2,2,2,1,3,0
4839,4,4,4,2,2,2,1,0
4851,3,4,4,2,3,3,2,0
4856,2,3,3,3,3,3,2,0
4858,1,2,1,1,4,1,3,1
4862,1,3,2,4,3,3,3,0
4864,1,3,4,2,4,1,1,0
4891,1,1,3,2,2,3,1,0
4892,1,3,1,1,1,4,4,0
4897,1,2,2,1,2,2,2,0
4898,1,1,4,2,4,3,2,0
4913,1,2,2,2,4,3,3,0
