,model_name,param,class_no,variable,value
0,binary,pis,0,feature_0,0.08678502920860842
1,binary,pis,1,feature_0,0.01431336101193636
2,binary,pis,2,feature_0,0.034203120537747524
1,categorical,pis,0,feature_1_1,0.20457834551937956
2,categorical,pis,0,feature_1_2,0.12931756252298188
3,categorical,pis,0,feature_1_3,0.28138275362438075
4,categorical,pis,0,feature_1_4,0.3847213383332572
6,categorical,pis,0,feature_2_1,0.04898240877072761
7,categorical,pis,0,feature_2_2,0.13092703135381215
8,categorical,pis,0,feature_2_3,0.2523748454051018
9,categorical,pis,0,feature_2_4,0.5677157144703577
11,categorical,pis,0,feature_3_1,0.02700486130834574
12,categorical,pis,0,feature_3_2,0.09126573531706428
13,categorical,pis,0,feature_3_3,0.2900643937136637
14,categorical,pis,0,feature_3_4,0.5916650096609257
16,categorical,pis,0,feature_4_1,0.21791393427730812
17,categorical,pis,0,feature_4_2,0.283616807473514
18,categorical,pis,0,feature_4_3,0.3012178580339797
19,categorical,pis,0,feature_4_4,0.1972514002151976
21,categorical,pis,0,feature_5_1,0.08825087070876463
22,categorical,pis,0,feature_5_2,0.20017607538444906
23,categorical,pis,0,feature_5_3,0.3525614979270569
24,categorical,pis,0,feature_5_4,0.3590115559797287
26,categorical,pis,0,feature_6_1,0.03216299671538586
27,categorical,pis,0,feature_6_2,0.19965858769233363
28,categorical,pis,0,feature_6_3,0.32969660389019495
29,categorical,pis,0,feature_6_4,0.438481811702085
31,categorical,pis,0,feature_7_1,0.3681102489762665
32,categorical,pis,0,feature_7_2,0.2607362235976773
33,categorical,pis,0,feature_7_3,0.1664590008700846
34,categorical,pis,0,feature_7_4,0.20469452655597098
36,categorical,pis,1,feature_1_1,0.4688963242964528
37,categorical,pis,1,feature_1_2,0.1549977587641737
38,categorical,pis,1,feature_1_3,0.19888258133195794
39,categorical,pis,1,feature_1_4,0.17722333560741543
41,categorical,pis,1,feature_2_1,0.30321846453572154
42,categorical,pis,1,feature_2_2,0.2595715947441007
43,categorical,pis,1,feature_2_3,0.27748163856778085
44,categorical,pis,1,feature_2_4,0.1597283021523969
46,categorical,pis,1,feature_3_1,0.400332500272857
47,categorical,pis,1,feature_3_2,0.28956307515331847
48,categorical,pis,1,feature_3_3,0.23411598156713842
49,categorical,pis,1,feature_3_4,0.07598844300668607
51,categorical,pis,1,feature_4_1,0.15058617571754354
52,categorical,pis,1,feature_4_2,0.17030013021166282
53,categorical,pis,1,feature_4_3,0.2428185853904417
54,categorical,pis,1,feature_4_4,0.43629510868035176
56,categorical,pis,1,feature_5_1,0.5328893061842048
57,categorical,pis,1,feature_5_2,0.29174386583828776
58,categorical,pis,1,feature_5_3,0.15436705388238614
59,categorical,pis,1,feature_5_4,0.020999774095121153
61,categorical,pis,1,feature_6_1,0.4794238519547231
62,categorical,pis,1,feature_6_2,0.29420029754210497
63,categorical,pis,1,feature_6_3,0.19024273476814077
64,categorical,pis,1,feature_6_4,0.036133115735031036
66,categorical,pis,1,feature_7_1,0.0752200705738089
67,categorical,pis,1,feature_7_2,0.26794427097847606
68,categorical,pis,1,feature_7_3,0.25650220777310695
69,categorical,pis,1,feature_7_4,0.40033345067460796
71,categorical,pis,2,feature_1_1,0.4718129512555244
72,categorical,pis,2,feature_1_2,0.13494063580387955
73,categorical,pis,2,feature_1_3,0.24949422037363805
74,categorical,pis,2,feature_1_4,0.14375219256695718
76,categorical,pis,2,feature_2_1,0.4941738966797508
77,categorical,pis,2,feature_2_2,0.304858589202621
78,categorical,pis,2,feature_2_3,0.14519433269354282
79,categorical,pis,2,feature_2_4,0.05577318142408455
81,categorical,pis,2,feature_3_1,0.3997261176960208
82,categorical,pis,2,feature_3_2,0.32594933081867894
83,categorical,pis,2,feature_3_3,0.22786183739863985
84,categorical,pis,2,feature_3_4,0.04646271408665956
86,categorical,pis,2,feature_4_1,0.5045768381272556
87,categorical,pis,2,feature_4_2,0.25865631172839837
88,categorical,pis,2,feature_4_3,0.22039610054629322
89,categorical,pis,2,feature_4_4,0.016370749598052015
91,categorical,pis,2,feature_5_1,0.024264002708906815
92,categorical,pis,2,feature_5_2,0.24024342400055515
93,categorical,pis,2,feature_5_3,0.33842957902790327
94,categorical,pis,2,feature_5_4,0.3970629942626339
96,categorical,pis,2,feature_6_1,0.1833952645872957
97,categorical,pis,2,feature_6_2,0.2399345611138484
98,categorical,pis,2,feature_6_3,0.22974601655833854
99,categorical,pis,2,feature_6_4,0.3469241577405166
101,categorical,pis,2,feature_7_1,0.5449074943610974
102,categorical,pis,2,feature_7_2,0.29054830189180364
103,categorical,pis,2,feature_7_3,0.1115843062375229
104,categorical,pis,2,feature_7_4,0.052959897509575145
