,model_name,param,class_no,variable,value
0,binary,pis,0,feature_0,0.9506907003394486
1,binary,pis,0,feature_1,0.5004013538033588
2,binary,pis,0,feature_2,0.7133027399756209
3,binary,pis,0,feature_3,0.4039508820821509
4,binary,pis,0,feature_4,0.7838701522894824
5,binary,pis,0,feature_5,0.33262225719475735
6,binary,pis,0,feature_6,0.06067148697358442
7,binary,pis,0,feature_7,0.5282678201862756
8,binary,pis,0,feature_8,0.10264530334555831
9,binary,pis,0,feature_9,0.0938100413229387
10,binary,pis,0,feature_10,0.08631522705741528
11,binary,pis,0,feature_11,0.05736398905794231
12,binary,pis,0,feature_12,0.06636435165290525
13,binary,pis,0,feature_13,0.3349626937219636
14,binary,pis,0,feature_14,0.3076483047363499
15,binary,pis,0,feature_15,0.13786169285327932
16,binary,pis,0,feature_16,0.37916918798234805
17,binary,pis,1,feature_0,0.9596738354933649
18,binary,pis,1,feature_1,0.46476203047967385
19,binary,pis,1,feature_2,0.6579980577583997
20,binary,pis,1,feature_3,0.2106924419597748
21,binary,pis,1,feature_4,0.5952808575960563
22,binary,pis,1,feature_5,0.13333990666331755
23,binary,pis,1,feature_6,0.007938889627583668
24,binary,pis,1,feature_7,0.3519569282393124
25,binary,pis,1,feature_8,0.01082120401837346
26,binary,pis,1,feature_9,0.009618002372033514
27,binary,pis,1,feature_10,0.011320343672969317
28,binary,pis,1,feature_11,0.0016170617267086574
29,binary,pis,1,feature_12,0.005242284423528397
30,binary,pis,1,feature_13,0.15212367273224967
31,binary,pis,1,feature_14,0.14099263363862868
32,binary,pis,1,feature_15,0.04479472512198717
33,binary,pis,1,feature_16,0.2075391388080233
34,binary,pis,2,feature_0,0.9219185203096338
35,binary,pis,2,feature_1,0.29710574473325113
36,binary,pis,2,feature_2,0.5197113054618506
37,binary,pis,2,feature_3,0.19634051622643867
38,binary,pis,2,feature_4,0.5616787496013824
39,binary,pis,2,feature_5,0.11481575802499283
40,binary,pis,2,feature_6,0.020464179097759144
41,binary,pis,2,feature_7,0.2987035424634884
42,binary,pis,2,feature_8,0.009553489830495965
43,binary,pis,2,feature_9,0.0037647060402553035
44,binary,pis,2,feature_10,0.014341776046411571
45,binary,pis,2,feature_11,1e-15
46,binary,pis,2,feature_12,1e-15
47,binary,pis,2,feature_13,0.1729076271316932
48,binary,pis,2,feature_14,0.170047083661701
49,binary,pis,2,feature_15,0.0425229520070972
50,binary,pis,2,feature_16,0.22595167369985583
