CASE,Y_proclSpeed_r,Y_proclDui_r,Y_proclRob_r,Y_proclKill_r,Y_proclProstitute_r,Y_proclRape_r,Y_proclZoo_r,Y_proclPublic_r,Y_proclPornChild_r,Y_proclPornChildDarknet_r,Y_proclChatChild_r,Y_proclGiftChild_r,Y_proclSexChild_r,Y_proclPornYp_r,Y_proclChatYp_r,Y_proclGiftYp_r,Y_proclSexYp_r
443,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
450,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
465,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
479,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
488,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1
504,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
506,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
534,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
555,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
573,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
577,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
579,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
581,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
604,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
661,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
683,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
685,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
689,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
800,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1
803,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
804,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
811,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1
815,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
831,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
864,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
873,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
877,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
881,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
907,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
914,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
919,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
923,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
957,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
963,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1
967,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
968,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
985,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1
990,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1012,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
1025,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1084,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1118,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1133,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1
1141,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1
1145,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1159,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1
1236,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1239,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1
1250,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1
1264,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1328,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
1345,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1352,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1354,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1414,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1475,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0
1491,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1546,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1557,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1
1595,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1605,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1633,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1636,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
1644,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1691,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1768,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1858,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1865,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
1870,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1
2066,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2246,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2256,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
2283,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2289,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2299,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
2355,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1
2371,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2415,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2440,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1
2458,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2471,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2489,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1
2494,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
2502,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2505,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2509,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1
2520,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2532,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2537,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
2556,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2574,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2576,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2588,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2599,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2716,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2724,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2732,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2753,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1
2770,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2775,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
2796,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2799,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2867,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1
2897,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1
2910,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2941,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2947,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1
2984,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1
2997,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
3069,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
3122,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
3128,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3129,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1
3170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3181,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3186,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3187,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3200,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
3278,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3279,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3286,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3291,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3304,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1
3314,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3316,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3324,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
3329,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1
3334,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3337,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3347,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3348,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
