,dbcv
0,-0.7102263035036316
1,-0.8034623403766825
2,-0.7619102268948872
3,-0.7597723366282442
4,-0.7907409334006763
5,-0.7313564422817511
6,-0.7846193479287165
7,-0.7040224359876318
8,-0.6035734202656788
9,-0.8164637093063113
10,-0.8154360197258307
11,-0.7301332317747571
12,-0.7673124398324793
13,-0.819004917648191
14,-0.7315372348129813
15,-0.7767710564959264
16,-0.7248161386452544
17,-0.4531325310255023
18,-0.7403655927553867
19,-0.7759394359026182
20,-0.7702414792170351
21,-0.6740731778847648
22,-0.747664211016659
23,-0.7319312948135839
24,-0.7702136404255516
25,-0.7815220939531622
26,-0.7503872206928531
27,-0.7852226648935379
28,-0.7460867436532116
29,-0.7287977653406709
30,-0.8043180218560534
31,-0.7745415515416669
32,-0.7285082607193819
33,-0.7328267689448598
34,-0.7258357939277255
35,-0.49032746590486126
36,-0.7659250240054098
37,-0.777879349190028
38,-0.784459055405527
39,-0.7690198566328723
40,-0.7582216256348882
41,-0.7970866626584692
42,-0.7689718373263522
43,-0.682938394315826
44,-0.7497834199792114
45,-0.7363351947104317
46,-0.8286677620001001
47,-0.7496783517359398
48,-0.7874099705540153
49,-0.6705123210116721
50,-0.6992833131556642
51,-0.8216881657054594
52,-0.7260049001797737
53,-0.7300757186197868
54,-0.7620864511273624
55,
56,-0.7997018017380826
57,-0.7245305138956807
58,-0.7163951424998614
59,-0.8202574506232535
60,-0.8154360197258307
61,-0.6861658313472485
62,-0.69786040866468
63,-0.7552076200151628
64,-0.6796405600546385
65,-0.7767710564959264
66,-0.6962890090013057
67,-0.7033800539245393
68,-0.7297036298857856
69,-0.7266213131825227
70,-0.765493806100082
71,-0.6740731778847648
72,-0.747664211016659
73,-0.7065235656807327
74,-0.7556203027705647
75,-0.7431971189485336
76,-0.66285340689074
77,-0.7632970812111142
78,-0.827092248938898
79,-0.7287977653406709
80,-0.7921213228793855
81,
82,-0.7353034127600384
83,-0.6884863310156201
84,-0.6903354474798071
85,-0.7933672498066606
86,-0.8268478091471066
87,-0.7211599512226815
88,-0.7529320276932163
89,-0.7690198566328724
90,-0.7543128310966386
91,-0.7718510778191149
92,-0.7839057581780745
93,-0.7451150547639744
94,-0.7287759032410153
95,-0.7251175752864721
96,-0.8152274323062103
97,-0.7557123808150732
98,-0.7263916227647867
99,-0.7055279213953755
100,-0.743024221435024
101,
102,
103,-0.7597723366282442
104,-0.7245161228587269
105,-0.7062739022919521
106,-0.7282679507678315
107,-0.7132560032334861
108,-0.7210621270725155
109,
110,-0.763147741726973
111,-0.7635958015802784
112,-0.7626258498976602
113,-0.7674400917427542
114,-0.7496834747524278
115,
116,-0.7081371288448276
117,-0.6919323585668281
118,-0.7302610371305636
119,
120,-0.7391397488491283
121,
122,-0.691438462761476
123,-0.7241887412962843
124,-0.7514550997234829
125,-0.7589074395569735
126,
127,-0.654856095602676
128,
129,-0.7528439730053447
130,-0.7376004961551261
131,-0.6897062455935103
132,-0.7170635302136412
133,
134,-0.7178376988589718
135,
136,
137,-0.7062161079142302
138,-0.7096888123267251
139,-0.7510315196991022
140,-0.6909814778394777
141,-0.7970866626584692
142,-0.7506892045546985
143,-0.6956264254361723
144,-0.6544299654616917
145,-0.7160626884217349
146,-0.8392421471402735
147,-0.7735184108201303
148,-0.7241160139224057
149,-0.7532838950661309
150,-0.7024683044362865
151,
152,-0.7105338375365844
153,-0.7457988907553327
154,-0.7649113112293192
155,-0.7185904564588057
156,-0.7761703568876093
157,
158,
159,
160,
161,-0.7909803560837333
162,
163,
164,-0.691382660947957
165,
166,-0.7057141016504039
167,
168,-0.7060784283917746
169,
170,-0.7676821179545965
171,-0.6307591011203798
172,
173,-0.702862598214862
174,-0.7577891674766517
175,-0.7858426917911019
176,
177,-0.6929576453437022
178,-0.7817307227949594
179,-0.7548313478326006
180,-0.778822096890988
181,
182,-0.7276523263997752
183,-0.7481332578498923
184,-0.7155601669507449
185,
186,-0.7157252900709442
187,
188,-0.725093791509084
189,-0.7349351879669173
190,-0.7044559267482259
191,-0.7400892680190954
192,-0.7236233760877583
193,-0.720269208021725
194,-0.7154677186286661
195,-0.6467727730369421
196,
197,-0.7287958087953944
198,
199,
200,-0.7021590867559936
201,-0.7787283110015678
202,-0.7136036152462557
203,-0.801015785450695
204,-0.7736339396586259
205,
206,
207,-0.7228635288341191
208,-0.7206508952552624
209,
210,-0.7891893275921372
211,-0.7355829508235439
212,-0.6457660647390902
213,
214,-0.7523735871653743
215,-0.7492952470818246
216,
217,
218,-0.6993321631754753
219,
220,
221,-0.6407753432920988
222,-0.7394816338667667
223,-0.7358837041767515
224,-0.7540556256004499
225,-0.7912726971478518
226,
227,
228,
229,-0.7340009451629267
230,-0.7118983238494798
231,-0.7945101575102287
232,
233,
234,-0.7362463753312846
235,-0.8080517877212678
236,-0.775408625363659
237,
238,-0.7061319248331314
239,
240,-0.6620336472089028
241,-0.7423162966122914
242,-0.6967814207957055
243,
244,-0.740613503645381
245,-0.6900904553988573
246,-0.8000117679675413
247,-0.78444740484077
248,
249,-0.6940897978724494
