CASE,sexdrive2,meffort,socialanx,lon,mvalue,attr,CSBD,PPCS_6
407,3,3,3,4,2,0,2,2
426,1,4,4,4,4,0,2,2
428,4,3,3,1,2,0,2,1
436,4,4,3,3,3,0,2,2
441,2,1,3,1,2,0,1,2
446,1,4,1,1,4,0,1,1
452,4,2,1,1,4,0,2,2
467,3,3,1,1,3,0,1,1
502,1,2,1,3,1,0,2,1
507,1,1,1,2,2,0,2,1
517,1,1,3,2,4,0,1,1
523,3,3,2,3,3,0,2,2
531,3,1,1,3,4,0,2,1
532,1,4,1,1,2,0,2,1
543,2,1,1,1,3,0,1,1
548,3,3,2,2,3,0,2,1
554,3,4,1,2,2,0,1,1
556,2,3,3,4,2,0,2,1
558,1,2,1,4,3,0,1,1
566,3,2,4,4,1,0,2,2
589,3,4,1,1,4,0,1,1
590,2,3,1,1,2,0,1,1
592,3,2,3,2,4,0,1,2
601,4,3,1,2,1,0,1,1
603,3,2,2,2,2,0,2,1
605,1,3,2,3,2,0,1,1
606,3,4,1,2,4,0,2,2
621,1,4,3,3,1,0,1,1
626,3,2,3,3,2,0,2,1
639,3,3,1,1,3,0,1,1
640,4,3,1,1,4,0,1,1
663,1,1,2,3,1,0,1,1
671,2,2,1,1,3,0,1,1
672,1,1,1,1,4,0,1,1
676,4,3,3,4,2,0,1,2
684,4,3,4,4,3,0,2,2
686,3,2,3,3,4,0,1,1
687,1,1,1,1,3,0,1,1
702,1,3,3,3,2,0,1,1
711,1,1,1,1,3,0,1,1
728,4,3,3,4,2,0,1,1
729,3,1,2,1,4,0,1,1
732,2,2,4,2,2,0,1,2
734,1,3,1,2,1,0,1,1
737,1,1,2,1,3,0,1,1
739,1,4,1,2,2,0,2,2
744,1,3,2,4,4,0,2,1
747,1,1,4,1,1,0,1,1
757,2,1,1,2,4,0,1,1
759,1,2,1,1,3,0,2,1
761,3,2,3,2,4,0,2,1
764,1,1,4,1,3,0,2,1
770,3,2,3,2,4,0,2,2
777,4,1,1,2,2,0,1,1
779,1,4,1,2,4,0,1,1
785,4,3,1,2,3,0,1,1
788,4,3,2,1,3,0,1,2
797,3,3,3,3,3,0,2,2
806,2,2,2,2,3,0,1,2
834,4,3,3,1,2,0,1,1
836,3,4,1,1,4,0,2,2
879,2,4,1,1,2,0,2,2
889,2,3,1,3,2,0,2,1
904,3,3,4,1,3,0,1,2
918,2,3,1,1,2,0,2,1
924,2,4,1,4,4,0,2,2
969,3,4,2,2,1,0,2,2
970,1,1,1,1,4,0,1,1
1036,2,1,2,3,4,0,1,1
1044,1,3,1,1,4,0,1,1
1046,3,2,4,1,1,0,2,1
1048,1,1,3,3,2,0,2,1
1064,4,4,4,4,3,0,2,2
1068,3,2,1,2,1,0,2,2
1069,4,4,2,4,1,0,1,1
1085,1,2,4,4,1,0,2,2
1100,1,3,4,2,1,0,2,2
1109,3,2,1,1,4,0,2,2
1122,2,2,1,2,3,0,1,1
1130,2,2,2,3,2,0,1,1
1139,3,2,2,3,4,0,2,2
1142,1,2,4,4,2,0,2,1
1166,1,2,3,1,4,0,1,2
1203,3,3,1,2,4,0,1,2
1213,1,2,4,4,2,0,2,1
1235,3,4,1,4,1,0,1,2
1274,1,3,1,2,2,0,2,1
1346,3,3,2,2,3,0,1,2
