model,model_name,param,class_no,variable,value
measurement,binary,pis,0,attr,0.010282556271207052
measurement,binary,pis,0,CSBD,0.4783244700606332
measurement,binary,pis,0,PPCS_6,0.3807988427983572
measurement,binary,pis,1,attr,4.0170933685943205e-10
measurement,binary,pis,1,CSBD,0.30620887554140125
measurement,binary,pis,1,PPCS_6,0.254503199832808
measurement,binary,pis,2,attr,0.03664754600745455
measurement,binary,pis,2,CSBD,0.920919504962782
measurement,binary,pis,2,PPCS_6,0.704925915186184
measurement,categorical,pis,0,sexdrive2_1,0.4828565902500843
measurement,categorical,pis,0,sexdrive2_2,0.17658346055553342
measurement,categorical,pis,0,sexdrive2_3,0.22726496347823866
measurement,categorical,pis,0,sexdrive2_4,0.1132949857161428
measurement,categorical,pis,0,meffort_1,0.3751567590332208
measurement,categorical,pis,0,meffort_2,0.34641663242986276
measurement,categorical,pis,0,meffort_3,0.2045795763186273
measurement,categorical,pis,0,meffort_4,0.07384703221828828
measurement,categorical,pis,0,socialanx_1,0.029390906880406662
measurement,categorical,pis,0,socialanx_2,0.20295656373405635
measurement,categorical,pis,0,socialanx_3,0.3811527162152193
measurement,categorical,pis,0,socialanx_4,0.3864998131703169
measurement,categorical,pis,0,lon_1,0.05664805628921079
measurement,categorical,pis,0,lon_2,0.13988899049168804
measurement,categorical,pis,0,lon_3,0.3264185347381152
measurement,categorical,pis,0,lon_4,0.4770444184809851
measurement,categorical,pis,0,mvalue_1,0.467638516935377
measurement,categorical,pis,0,mvalue_2,0.2676104371571898
measurement,categorical,pis,0,mvalue_3,0.17032462042580548
measurement,categorical,pis,0,mvalue_4,0.09442642548162689
measurement,categorical,pis,1,sexdrive2_1,0.3068725870558377
measurement,categorical,pis,1,sexdrive2_2,0.2857899884573143
measurement,categorical,pis,1,sexdrive2_3,0.24656728875917353
measurement,categorical,pis,1,sexdrive2_4,0.16077013572767634
measurement,categorical,pis,1,meffort_1,0.2501948108135036
measurement,categorical,pis,1,meffort_2,0.23352269796769162
measurement,categorical,pis,1,meffort_3,0.3078196830444789
measurement,categorical,pis,1,meffort_4,0.20846280817432772
measurement,categorical,pis,1,socialanx_1,0.6414001023601913
measurement,categorical,pis,1,socialanx_2,0.16950160487130916
measurement,categorical,pis,1,socialanx_3,0.1634905501959952
measurement,categorical,pis,1,socialanx_4,0.02560774257250616
measurement,categorical,pis,1,lon_1,0.5579112929641897
measurement,categorical,pis,1,lon_2,0.2885243651260437
measurement,categorical,pis,1,lon_3,0.12676018845650086
measurement,categorical,pis,1,lon_4,0.026804153453267462
measurement,categorical,pis,1,mvalue_1,0.13614486761670672
measurement,categorical,pis,1,mvalue_2,0.28368654742304467
measurement,categorical,pis,1,mvalue_3,0.25213349799841306
measurement,categorical,pis,1,mvalue_4,0.32803508696183736
measurement,categorical,pis,2,sexdrive2_1,0.16097123084348322
measurement,categorical,pis,2,sexdrive2_2,0.15979871540291496
measurement,categorical,pis,2,sexdrive2_3,0.3667080842938064
measurement,categorical,pis,2,sexdrive2_4,0.3125219694597978
measurement,categorical,pis,2,meffort_1,0.023643849570878294
measurement,categorical,pis,2,meffort_2,0.17232281154144602
measurement,categorical,pis,2,meffort_3,0.3588193036860384
measurement,categorical,pis,2,meffort_4,0.4452140352016397
measurement,categorical,pis,2,socialanx_1,0.3965658831207272
measurement,categorical,pis,2,socialanx_2,0.18447513318310957
measurement,categorical,pis,2,socialanx_3,0.28090991669222515
measurement,categorical,pis,2,socialanx_4,0.1380490670039405
measurement,categorical,pis,2,lon_1,0.28802542819697075
measurement,categorical,pis,2,lon_2,0.2654756355064455
measurement,categorical,pis,2,lon_3,0.25771746261100353
measurement,categorical,pis,2,lon_4,0.18878147368558257
measurement,categorical,pis,2,mvalue_1,0.15706413739761058
measurement,categorical,pis,2,mvalue_2,0.2550589451253718
measurement,categorical,pis,2,mvalue_3,0.23136088484634706
measurement,categorical,pis,2,mvalue_4,0.35651603263067305
measurement,class_weights,class_weights,0,nan,0.37964172283155645
measurement,class_weights,class_weights,1,nan,0.41941936338942004
measurement,class_weights,class_weights,2,nan,0.20093891377902254
structural,binary,pis,0,Y_proclSpeed_r,0.9365175512467571
structural,binary,pis,0,Y_proclDui_r,0.37538151938222236
structural,binary,pis,0,Y_proclRob_r,0.5552414772693662
structural,binary,pis,0,Y_proclKill_r,0.25075863179915553
structural,binary,pis,0,Y_proclProstitute_r,0.2093647342708826
structural,binary,pis,0,Y_proclRape_r,0.02731322088724368
structural,binary,pis,0,Y_proclZoo_r,0.0018275489597161453
structural,binary,pis,0,Y_proclPublic_r,0.15173955130836206
structural,binary,pis,0,Y_proclPornChild_r,0.010868940480069752
structural,binary,pis,0,Y_proclPornChildDarknet_r,0.00459629556398804
structural,binary,pis,0,Y_proclChatChild_r,0.0027722211222261325
structural,binary,pis,0,Y_proclGiftChild_r,1e-15
structural,binary,pis,0,Y_proclSexChild_r,1e-15
structural,binary,pis,0,Y_proclPornYp_r,0.06127351833551245
structural,binary,pis,0,Y_proclChatYp_r,0.06406292555804166
structural,binary,pis,0,Y_proclGiftYp_r,0.0007351517075379207
structural,binary,pis,0,Y_proclSexYp_r,0.087030692572784
structural,binary,pis,1,Y_proclSpeed_r,0.9370416814916173
structural,binary,pis,1,Y_proclDui_r,0.35675826126415355
structural,binary,pis,1,Y_proclRob_r,0.5129790094473318
structural,binary,pis,1,Y_proclKill_r,0.07733410346664621
structural,binary,pis,1,Y_proclProstitute_r,0.08015121683225253
