CASE,Y_proclSpeed_r,Y_proclDui_r,Y_proclRob_r,Y_proclKill_r,Y_proclProstitute_r,Y_proclRape_r,Y_proclZoo_r,Y_proclPublic_r,Y_proclPornChild_r,Y_proclPornChildDarknet_r,Y_proclChatChild_r,Y_proclGiftChild_r,Y_proclSexChild_r,Y_proclPornYp_r,Y_proclChatYp_r,Y_proclGiftYp_r,Y_proclSexYp_r
407,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
426,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
436,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
441,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
467,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
502,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
523,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
566,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
589,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
590,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
603,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
626,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
672,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
684,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
687,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
729,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
732,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
734,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
747,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
797,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
